"site_id","site_name","wkt","n_d18o_samples","n_d13c_samples"
324,"La Vallina","POINT(-4.8067 43.41)","890","890"
7,"Cold Air cave","POINT(29.1833 -24)","886","886"
29,"Mairs cave","POINT(138.83 -32.16)","878","878"
27,"Tamboril cave","POINT(-47 -16)","866","866"
307,"Efflux cave","POINT(22.34 -33.41)","861","870"
298,"Belum cave","POINT(78.1 15.1)","861","861"
82,"Hollywood cave","POINT(171.47 -41.95)","856","856"
269,"Gejkar cave","POINT(45.1645 35.8)","840","840"
334,"Nova Grgosova cave","POINT(15.6783 45.8188)","839","839"
351,"Trapiá cave","POINT(-37.7 -5.6)","819","855"
323,"Kyok-Tash cave","POINT(85.656 51.729)","818","818"
353,"Wintimdouine","POINT(-9.49 30.77)","1597","0"
355,"Xiniu cave","POINT(110.57 31.5167)","791","791"
31,"Abaliget cave","POINT(18.1167 46.1333)","779","779"
313,"Herbstlabyrinth cave","POINT(8.2058 50.6875)","773","773"
128,"Buckeye creek","POINT(-80.4 37.98)","1533","0"
263,"Bulgarian Orlova Chuka cave","POINT(25.9597 43.5937)","763","763"
133,"Buca della Renella","POINT(10.21 44.08)","758","759"
360,"Bigonda cave","POINT(11.581 46.018)","758","758"
232,"Rio Secreto cave system","POINT(-87.13 20.59)","1138","333"
42,"Ifoulki cave","POINT(-9.3275 30.708)","727","727"
165,"Ruakuri cave","POINT(175.08 -36.27)","726","726"
213,"Tausoare cave","POINT(24.5167 47.4333)","722","722"
160,"Soreq cave","POINT(35.0226 31.7558)","1432","0"
260,"Crovassa Azzurra","POINT(8.48 39.28)","707","707"
290,"Grete-Ruth Shaft","POINT(12.0272 47.5429)","705","705"
336,"Pentadactylos","POINT(33.47 35.27)","685","684"
65,"Whiterock cave","POINT(114.86 4.15)","1142","189"
234,"Santana cave","POINT(-48.7267 -24.5308)","661","661"
85,"Macal Chasm","POINT(-89.108 16.883)","660","660"
352,"War Eagle","POINT(-86.05 34.67)","659","657"
142,"Tianmen","POINT(90.0667 30.9167)","1313","0"
200,"Minnetonka cave","POINT(-111.519 42.0875)","644","644"
286,"La Garma cave","POINT(-3.6658 43.4306)","765","497"
64,"Wah Shikhar cave","POINT(91.8667 25.25)","625","602"
366,"Savi cave","POINT(13.8833 45.6167)","609","609"
134,"Cave of the Bells","POINT(-110.75 31.75)","1191","0"
243,"Kailash cave","POINT(81.9915 18.8445)","1186","0"
204,"Xibalba cave","POINT(-89 16.5)","595","582"
345,"Schratten cave","POINT(8.2667 46.7833)","584","584"
99,"Dante cave","POINT(17.8833 -19.4)","579","579"
301,"Cathedral cave","POINT(148.94 -32.617)","575","575"
71,"Baradla cave","POINT(20.5 48.4667)","559","559"
174,"Zhuliuping cave","POINT(104.095 26.0167)","547","547"
244,"Lianhua cave, Shanxi","POINT(113.7167 38.1667)","1084","0"
38,"Diva cave","POINT(-41.5733 -12.3819)","539","539"
193,"Frasassi cave system - Grotta Grande del Vento","POINT(12.9619 43.4008)","537","539"
328,"Mata Virgem cave","POINT(-47.49 -11.62)","536","536"
225,"Chiflonkhakha cave","POINT(-65.7739 -18.1222)","683","371"
273,"Crystal cave","POINT(-118.82 36.59)","1054","0"
341,"Rey Marcos","POINT(-90.2807 15.4277)","520","520"
178,"Yamen cave","POINT(107.9 25.4833)","1020","0"
154,"Jiuxian cave","POINT(109.1 33.5667)","1019","0"
358,"Zhangjia cave","POINT(105.0833 32.5833)","1017","0"
319,"Jiulong cave","POINT(113.9 27.8)","505","505"
343,"Sant'Angelo cave","POINT(17.5 40.7)","1002","0"
305,"Cueva Rosa","POINT(-5.1403 43.4436)","499","499"
272,"Metro cave","POINT(171.47 -41.93)","489","488"
80,"Furong cave","POINT(107.9036 29.2289)","669","299"
53,"Pippikin Pot cave","POINT(-2.5123 54.2143)","483","483"
78,"Chilibrillo cave","POINT(-79.6164 9.1741)","483","483"
190,"Cold Water cave","POINT(-91.975 43.4678)","483","483"
69,"Xinglong cave","POINT(117.5 40.5)","569","395"
57,"Soylegrotta cave","POINT(14 66)","477","477"
111,"Rainha cave","POINT(-37.6432 -5.5782)","953","0"
265,"Coves de Campanet","POINT(2.9683 39.7937)","439","439"
26,"Okshola cave","POINT(15 67)","438","438"
187,"Cesare Battisti cave","POINT(11.03 46.13)","435","435"
25,"Palestina cave","POINT(-77.35 -5.92)","434","435"
166,"Te Reinga cave","POINT(177.52 -38.82)","429","429"
