type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:heritage:operator,tag:historic,tag:name,tag:name:ga,tag:ref:IE:nm,tag:ref:IE:smr,tag:wikidata,tag:wikipedia,tag:sketchfab,tag:tourism,tag:url:sketchfab,tag:material,tag:website,tag:alt_name,tag:inscription:la,tag:source:inscription,tag:wikimedia_commons,tag:note,tag:moved,tag:fixme,tag:name:en,tag:description,tag:inscription,tag:project,tag:source,tag:access,tag:height,tag:image,tag:moved:from,tag:source_ref,tag:width,tag:inscription:en,tag:inscription:pgl-Latn,tag:moved_to:wikidata,tag:location,tag:archaeological_site,tag:historic:civilization,tag:level,tag:depth,tag:source:ref,tag:image:license,tag:indoor,tag:moved_from,tag:ref,tag:ref:IE:ucc,tag:source:inscription:pgl-Latn,tag:loc_name,tag:related:wikipedia,tag:related:wikidata,tag:url:ogham3D,tag:colour,tag:moved_from:wikidata,tag:ref:IE:ciic,tag:moved_date,tag:discovery:date,tag:source:inscription:pgk-Latn,tag:ref:IE:cpm,tag:url
node,11955670788,9,2024-06-07T10:55:01Z,152370294,b-unicycling,1713634,51.8936998,-8.4924763,,,ogham_stone,UCC 17,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,ACTO MAQI M[]MAGO,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670789,11,2025-09-23T07:16:22Z,172327978,tg4567,12500589,51.8937015,-8.4924701,,,ogham_stone,UCC 16,,,CO074-157----,Q70885712,,,,,,,,,,Category:CIIC 90 (Ogham Stone Concept by RAS Macalister),,yes,,,,,,survey,,,,,,,,CRONUN MAC BAIT,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670790,9,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8937032,-8.4924639,,,ogham_stone,CIIC 94/ UCC 15,,,CO074-158----,Q70885706,,,,https://skfb.ly/oVMUC,,,,,,,,yes,,,,,,survey,,,,,,,,D[ ]MM[ ]MACI [ ]ERI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,15,information panel,,,,,,,,,,,,
node,11955670791,9,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8937049,-8.4924578,,,ogham_stone,UCC 14,,,CO074-159----,Q70885704,,,,https://skfb.ly/oVMV9,,,,,,,,yes,,,,,,survey,,,,,,,,L[A]MADULICCI MAC[ ]CBROCC,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670792,9,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8937066,-8.4924516,,,ogham_stone,UCC 13,,,CO074-160----,Q70885703,,,,https://skfb.ly/oVMpN,,,,,,,,yes,,,,,,survey,,,,,,,,ANM MEDDOGENI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670793,8,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8937082,-8.4924454,,,ogham_stone,UCC 11,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,D[ ]G[ ]TE/QUL[ ]Q... or DRUTIQUILI MAQI MAQI-RODAGNI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670794,11,2025-09-23T07:16:22Z,172327978,tg4567,12500589,51.8937167,-8.4924146,,,ogham_stone,UCC 25,,,CO074-147----,Q70885734,,,,https://skfb.ly/oVOqB,,,,,,Category:CIIC 128 (Ogham Stone Concept by RAS Macalister),,yes,,,,,,survey,,,,,,,,DOVED/TI [MA]Q[I] LOCARENAS C[ ]U MAQI CULIDOVI,,,,,0,,,,yes,"Carrigagulla, Co. Cork bog",,,information panel,,,,,,Q85394128,,,,,,
node,11955670796,11,2025-09-23T07:16:22Z,172327978,tg4567,12500589,51.8937133,-8.4924269,,,ogham_stone,UCC 7,,,CO074-164—,Q70885690,,,,https://skfb.ly/oVMpr,,,,,,Category:CIIC 89 (Ogham Stone Concept by RAS Macalister),,yes,,,,,,survey,,,,,,,,BOGAI MAQI BIRAC...,,,,,0,,,,yes,"Ballyknock, Co. Cork",,7,information panel,,,,,,,,,,,,
node,11955670797,9,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8937116,-8.4924331,,,ogham_stone,UCC 8,,,CO074-163----,Q70885692,,,,https://skfb.ly/oVM7t,,,,,,,,yes,,,,,,survey,,,,,,,,ERCAIDANA,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11955670798,10,2024-06-07T10:56:06Z,152370351,b-unicycling,1713634,51.8937099,-8.4924393,,,ogham_stone,UCC 9,,,,Q70885695,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,GRILAGNI MAQI SCILAGNI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,,information panel,,,,,,,,,,,,
node,11966423819,1,2024-06-09T13:46:05Z,152455799,fthierygeo,8813335,51.8961577,-8.4943171,,,ogham_stone,Kilbrittain Fragment,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,,,,,,0,,,,yes,,,,,,,,,,,,,,,1993.16,
node,11966430251,3,2024-06-09T13:43:19Z,152455698,fthierygeo,8813335,51.8960881,-8.4943144,,,ogham_stone,CHUIS/1,,,,,,,,https://skfb.ly/oW6RU,,,,,,,,yes,,,,,,survey,,,,,,,,BECCCDINN MACI RI[T(T)A]VVECASS,,,,,0,,,,ogham,,,,information panel,,,,,,,,,,,G1094,
node,11966441102,1,2024-06-09T13:42:33Z,152455663,fthierygeo,8813335,51.896151,-8.4942742,,,ogham_stone,GEARS/1,,,,,,,,https://skfb.ly/oW6QR,,,,,,,,yes,,,,,,survey,,,,,,,,BRANADDOV MA[QI] MAQIQOLI MUCOI DOVI[NIAS],,,,,0,,,,yes,,,,McManus/1991,,,,,,,,,,,L.1954.3,
node,12276963607,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.126787,-10.3059796,2,IE:smr,ogham_stone,Ogham Stone CIIC 147. Ballineesteenigh,,,KE053-012002-,,,,,,,,,,,,,yes,,,,MOINENA MAQI OLACON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
